都道府県,店名,電話番号
東京,DOUBLE TALL CAFE 原宿店,+81 3-5413-2106
東京,カフェ バルネ,+81 3-6407-1393
東京,エコファームカフェ632原宿,+81 3-3498-0632
東京,ネスカフェ,+81 3-5772-2038
東京,カフェラントマン 青山,+81 3-3498-2061
東京,&t cafe 表参道,+81 3-6447-0980
東京,トラヤあんスタンド北青山店,+81 3-6450-6720
東京,CAFE:MONOCHROME,+81 3-6452-5735
東京,カフェ＆レストラン WIRED TOKYO 1999,+81 3-5459-1270
東京,カフェ ラ・ボエム 新宿御苑,+81 50-5444-5123
東京,GOOD MORNING CAFE NOWADAYS,+81 50-3503-0601
東京,ミカサデコ＆カフェ神宮前,+81 3-6803-8630
東京,キャメリッシュ ギャラリー＆カフェ,+81 3-5770-3843
東京,MARBLE GALLERY CAFE,+81 3-6277-6502
東京,カフェ コキーユ,+81 3-5770-8164
東京,JAIME,+81 3-6435-5683
東京,ティーラウンジ ザ・ガーデン,+81 3-3470-4611
東京,Mercedes me Tokyo / DOWNSTAIRS COFFEE,+81 3-3423-8772
東京,PARK6 powered by bondolfi boncaffē,+81 3-6434-0546
東京,ロンハーマン カフェ六本木店,+81 3-6447-0562
東京,サントリー美術館 shop×cafe,+81 3-3479-8600
東京,銀座ウエスト 青山ガーデン,+81 3-3403-1818
東京,西琲亜,+81 3-3452-3330
東京,KAPETAYO TOKYO,+81 3-6277-8319
東京,Cafe Terrace 麻布十番,+81 3-6809-3012
東京,IPC Lounge,+81 3-6453-6627
東京,BONDI CAFE,+81 3-5422-9449
東京,Les Grands Arbres,+81 50-5462-3856
東京,占いカフェ＆バー燦伍,+81 3-6435-0303
東京,GALLERY MERROW CAFE,+81 3-3475-7150
東京,ムロマチカフェ ハチ,+81 50-3823-0096
